Datetime,Sales
2015-01-01,4173
2015-02-01,10667
2015-03-01,797
2015-04-01,2808
2015-05-01,5886
2015-06-01,4308
2015-07-01,6465
2015-08-01,1574
2015-09-01,1779
2015-10-01,40213
2015-11-01,20788
2015-12-01,32856
2016-01-01,32940
2016-02-01,38319
2016-03-01,22582
2016-04-01,6990
2016-05-01,3918
2016-06-01,3807
2016-07-01,2846
2016-08-01,1125
2016-10-01,125842
2016-11-01,12038
2016-12-01,102162
2017-01-01,28612
2017-02-01,5054
2017-03-01,70979
2017-04-01,4751
2017-05-01,5164
2017-06-01,1807
2017-07-01,3582
2017-08-01,2195
2017-09-01,2564
2017-10-01,199584
2017-11-01,3470
2017-12-01,35548
2018-01-01,89557
2018-02-01,3080
2018-03-01,1679
2018-04-01,1872
2018-05-01,2161
2018-06-01,1432
2018-07-01,2628
2018-08-01,2210
2018-09-01,2037
2018-10-01,129223
2018-11-01,23346
2018-12-01,6500
2019-01-01,144940
2019-02-01,3082
2019-03-01,9859
2019-04-01,5029
2019-05-01,3618
2019-06-01,40
2019-07-01,6803
2019-08-01,3379
2019-09-01,9097
2019-10-01,104715
2019-11-01,27234
2019-12-01,24408
2020-01-01,47296
2020-02-01,61247
2020-03-01,60850
2020-04-01,4723
2020-05-01,3016
2020-06-01,18023
2020-07-01,17702
2020-08-01,6546
2020-09-01,11740
2020-10-01,112687
2020-11-01,65202
2020-12-01,97009
2021-01-01,71934
2021-02-01,82270
2021-03-01,50838
2021-04-01,25450
2021-06-01,75868
2021-07-01,43596
2021-08-01,60475
2021-09-01,40187
2021-10-01,122861
2021-11-01,112580
2021-12-01,73951
2022-01-01,88357
2022-02-01,102114
2022-03-01,49116
2022-04-01,28726
2022-05-01,24153
2022-06-01,13789
2022-07-01,22490
2022-08-01,21581
2022-09-01,19140